Gene,Function,Multifunction,Biological Process,Cellular Component,Molecular Function
lysS,repressor,amino acid -activation,GO:0006412 - translation; GO:0006418 - tRNA aminoacylation for protein translation; GO:0006430 - lysyl-tRNA aminoacylation; GO:0015966 - diadenosine tetraphosphate biosynthetic process; GO:0043032 - positive regulation of macrophage activation; GO:1901576 - organic substance biosynthetic process,GO:0005615 - extracellular space; GO:0005737 - cytoplasm; GO:0005829 - cytosol; GO:0016020 - membrane; GO:0017101 - aminoacyl-tRNA synthetase multienzyme complex,GO:0000049 - tRNA binding; GO:0000166 - nucleotide binding; GO:0000287 - magnesium ion binding; GO:0003676 - nucleic acid binding; GO:0003877 - ATP adenylyltransferase activity; GO:0004812 - aminoacyl-tRNA ligase activity; GO:0004824 - lysine-tRNA ligase activity; GO:0005515 - protein binding; GO:0005524 - ATP binding; GO:0016874 - ligase activity; GO:0042803 - protein homodimerization activity; GO:0046872 - metal ion binding
ychF,repressor,"other (mechanical, nutritional, oxidative stress)",GO:0006979 - response to oxidative stress,GO:0005737 - cytoplasm; GO:0005829 - cytosol,GO:0000166 - nucleotide binding; GO:0004857 - enzyme inhibitor activity; GO:0005515 - protein binding; GO:0005524 - ATP binding; GO:0005525 - GTP binding; GO:0016887 - ATP hydrolysis activity; GO:0017111 - ribonucleoside triphosphate phosphatase activity; GO:0042803 - protein homodimerization activity; GO:0043022 - ribosome binding; GO:0043023 - ribosomal large subunit binding; GO:0046872 - metal ion binding
pth,repressor,translation,GO:0006412 - translation; GO:0006515 - protein quality control for misfolded or incompletely synthesized proteins,GO:0005737 - cytoplasm; GO:0005829 - cytosol,GO:0004045 - aminoacyl-tRNA hydrolase activity; GO:0016787 - hydrolase activity
frr,repressor,translation; translation attenuation and efficiency,GO:0002184 - cytoplasmic translational termination; GO:0006412 - translation; GO:0006415 - translational termination,GO:0005737 - cytoplasm; GO:0005829 - cytosol,GO:0005515 - protein binding; GO:0043023 - ribosomal large subunit binding
argS,repressor,amino acid -activation,GO:0006412 - translation; GO:0006418 - tRNA aminoacylation for protein translation; GO:0006420 - arginyl-tRNA aminoacylation,GO:0005737 - cytoplasm; GO:0005829 - cytosol,GO:0000166 - nucleotide binding; GO:0004812 - aminoacyl-tRNA ligase activity; GO:0004814 - arginine-tRNA ligase activity; GO:0005524 - ATP binding; GO:0016874 - ligase activity
yajC,repressor,The Type II (General) Secretory Pathway (IISP) Family; membrane,GO:0015031 - protein transport; GO:0032978 - protein insertion into membrane from inner side; GO:0043952 - protein transport by the Sec complex,GO:0005886 - plasma membrane; GO:0016020 - membrane; GO:0031522 - cell envelope Sec protein transport complex,GO:0005515 - protein binding
tgt,repressor,RNA modification,GO:0002099 - tRNA wobble guanine modification; GO:0006400 - tRNA modification; GO:0008033 - tRNA processing; GO:0008616 - queuosine biosynthetic process; GO:0101030 - tRNA-guanine transglycosylation,GO:0005737 - cytoplasm; GO:0005829 - cytosol,GO:0008270 - zinc ion binding; GO:0008479 - tRNA-guanosine(34) queuine transglycosylase activity; GO:0016740 - transferase activity; GO:0016757 - glycosyltransferase activity; GO:0016763 - pentosyltransferase activity; GO:0046872 - metal ion binding
infA,repressor,translation,GO:0006412 - translation; GO:0006413 - translational initiation,GO:0005737 - cytoplasm; GO:0005829 - cytosol,GO:0003676 - nucleic acid binding; GO:0003723 - RNA binding; GO:0003743 - translation initiation factor activity; GO:0005515 - protein binding; GO:0019843 - rRNA binding; GO:0043022 - ribosome binding
efp,repressor,translation,GO:0006412 - translation; GO:0006414 - translational elongation; GO:0043043 - peptide biosynthetic process; GO:0072344 - rescue of stalled ribosome; GO:2001125 - negative regulation of translational frameshifting,GO:0005737 - cytoplasm; GO:0005829 - cytosol,GO:0003746 - translation elongation factor activity; GO:0043022 - ribosome binding
prfC,repressor,translation,GO:0006412 - translation; GO:0006415 - translational termination; GO:0006449 - regulation of translational termination; GO:1990145 - maintenance of translational fidelity,GO:0005737 - cytoplasm; GO:0005829 - cytosol,"GO:0000166 - nucleotide binding; GO:0003924 - GTPase activity; GO:0005515 - protein binding; GO:0005525 - GTP binding; GO:0016149 - translation release factor activity, codon specific; GO:0016150 - translation release factor activity, codon nonspecific; GO:0019003 - GDP binding; GO:0097216 - guanosine tetraphosphate binding"
queA,repressor,RNA modification,GO:0002099 - tRNA wobble guanine modification; GO:0008616 - queuosine biosynthetic process; GO:0009314 - response to radiation,GO:0005737 - cytoplasm; GO:0005829 - cytosol,GO:0016740 - transferase activity; GO:0016853 - isomerase activity; GO:0051075 - S-adenosylmethionine:tRNA ribosyltransferase-isomerase activity
rluC,repressor,RNA modification,GO:0000455 - enzyme-directed rRNA pseudouridine synthesis; GO:0001522 - pseudouridine synthesis; GO:0006364 - rRNA processing; GO:0009451 - RNA modification,GO:0005829 - cytosol,GO:0003723 - RNA binding; GO:0009982 - pseudouridine synthase activity; GO:0016853 - isomerase activity; GO:0120159 - rRNA pseudouridine synthase activity; GO:0160141 - 23S rRNA pseudouridine(955/2504/2580) synthase activity
ybhN,activator,,GO:0055091 - phospholipid homeostasis,GO:0005886 - plasma membrane; GO:0016020 - membrane,GO:0047637 - phosphatidylglycerol alanyltransferase activity
clsB,activator,phospholipid,GO:0006629 - lipid metabolic process; GO:0008654 - phospholipid biosynthetic process; GO:0032049 - cardiolipin biosynthetic process,GO:0005829 - cytosol; GO:0005886 - plasma membrane; GO:0016020 - membrane,"GO:0003824 - catalytic activity; GO:0004630 - phospholipase D activity; GO:0008808 - cardiolipin synthase activity; GO:0016740 - transferase activity; GO:0016780 - phosphotransferase activity, for other substituted phosphate groups; GO:0030572 - phosphatidyltransferase activity"
ybhP,activator,DNA degradation,GO:0006506 - GPI anchor biosynthetic process,GO:0005829 - cytosol; GO:0005886 - plasma membrane,GO:0003824 - catalytic activity
ybeL,activator,,,GO:0005829 - cytosol,
gadE,activator,Transcription related; activator; pH,GO:0006355 - regulation of DNA-templated transcription; GO:1990451 - cellular stress response to acidic pH,GO:0005667 - transcription regulator complex; GO:0005829 - cytosol,GO:0003677 - DNA binding
mdtE,activator,Accessory Factors Involved in Transport; drug resistance/sensitivity,GO:0009636 - response to toxic substance; GO:0015721 - bile acid and bile salt transport; GO:0042908 - xenobiotic transport; GO:0046677 - response to antibiotic; GO:0055085 - transmembrane transport,GO:0005886 - plasma membrane; GO:0016020 - membrane; GO:0030288 - outer membrane-bounded periplasmic space,GO:0015125 - bile acid transmembrane transporter activity; GO:0022857 - transmembrane transporter activity; GO:0042802 - identical protein binding
gadF,activator,,GO:0050794 - regulation of cellular process,,GO:0003729 - mRNA binding; GO:0005515 - protein binding
mdtF,activator,Electrochemical potential driven transporters; drug resistance/sensitivity; membrane,GO:0006855 - xenobiotic transmembrane transport; GO:0009636 - response to toxic substance; GO:0015721 - bile acid and bile salt transport; GO:0042908 - xenobiotic transport; GO:0046677 - response to antibiotic; GO:0055085 - transmembrane transport,GO:0005886 - plasma membrane; GO:0016020 - membrane,GO:0015125 - bile acid transmembrane transporter activity; GO:0015562 - efflux transmembrane transporter activity; GO:0022857 - transmembrane transporter activity; GO:0042802 - identical protein binding; GO:0042910 - xenobiotic transmembrane transporter activity
yebV,activator,,,,GO:0005515 - protein binding
ldtE,activator,murein (peptidoglycan),GO:0000270 - peptidoglycan metabolic process; GO:0008360 - regulation of cell shape; GO:0009252 - peptidoglycan biosynthetic process; GO:0018104 - peptidoglycan-protein cross-linking; GO:0071555 - cell wall organization,GO:0005576 - extracellular region; GO:0030288 - outer membrane-bounded periplasmic space; GO:0042597 - periplasmic space,"GO:0004180 - carboxypeptidase activity; GO:0016740 - transferase activity; GO:0016757 - glycosyltransferase activity; GO:0016787 - hydrolase activity; GO:0071972 - peptidoglycan L,D-transpeptidase activity"
ycgB,activator,,GO:0006974 - DNA damage response,GO:0005829 - cytosol,
ycaP,activator,,,GO:0005829 - cytosol; GO:0005886 - plasma membrane; GO:0016020 - membrane,
yehY,activator,"ABC superfamily, membrane component; membrane",GO:0006865 - amino acid transport; GO:0015838 - amino-acid betaine transport; GO:0031460 - glycine betaine transport; GO:0055085 - transmembrane transport,"GO:0005886 - plasma membrane; GO:0016020 - membrane; GO:0055052 - ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing",GO:0005515 - protein binding
osmF,activator,"ABC superfamily, periplasmic binding component",GO:0006865 - amino acid transport; GO:0015838 - amino-acid betaine transport; GO:0031460 - glycine betaine transport; GO:0055085 - transmembrane transport; GO:0071474 - cellular hyperosmotic response,"GO:0005886 - plasma membrane; GO:0016020 - membrane; GO:0030288 - outer membrane-bounded periplasmic space; GO:0042597 - periplasmic space; GO:0043190 - ATP-binding cassette (ABC) transporter complex; GO:0055052 - ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing",GO:0022857 - transmembrane transporter activity
yehX,activator,ABC superfamily ATP binding cytoplasmic component,GO:0006865 - amino acid transport; GO:0015838 - amino-acid betaine transport; GO:0031460 - glycine betaine transport,"GO:0005829 - cytosol; GO:0005886 - plasma membrane; GO:0016020 - membrane; GO:0055052 - ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing",GO:0000166 - nucleotide binding; GO:0005524 - ATP binding; GO:0016887 - ATP hydrolysis activity; GO:0031459 - ABC-type glycine betaine transporter activity
yehW,activator,"ABC superfamily, membrane component; membrane",GO:0006865 - amino acid transport; GO:0015838 - amino-acid betaine transport; GO:0031460 - glycine betaine transport; GO:0055085 - transmembrane transport,"GO:0005886 - plasma membrane; GO:0016020 - membrane; GO:0055052 - ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing",
curA,activator,,GO:0006693 - prostaglandin metabolic process,GO:0005829 - cytosol,"GO:0016491 - oxidoreductase activity; GO:0016628 - oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor; GO:0042803 - protein homodimerization activity; GO:0047522 - 15-oxoprostaglandin 13-oxidase activity"
kbp,activator,osmotic pressure,GO:0035864 - response to potassium ion,GO:0005737 - cytoplasm,GO:0030955 - potassium ion binding
yjfY,activator,,,GO:0005829 - cytosol; GO:0042597 - periplasmic space,
yeaQ,activator,,,GO:0005886 - plasma membrane; GO:0016020 - membrane,
sodC,activator,detoxification,GO:0006801 - superoxide metabolic process; GO:0019430 - removal of superoxide radicals,GO:0030288 - outer membrane-bounded periplasmic space; GO:0042597 - periplasmic space,GO:0004784 - superoxide dismutase activity; GO:0005507 - copper ion binding; GO:0008270 - zinc ion binding; GO:0016209 - antioxidant activity; GO:0016491 - oxidoreductase activity; GO:0046872 - metal ion binding
osmB,activator,osmotic pressure,GO:0006970 - response to osmotic stress,GO:0005886 - plasma membrane; GO:0016020 - membrane; GO:0019867 - outer membrane; GO:0030288 - outer membrane-bounded periplasmic space,
yoaC,activator,,,,
yniA,activator,,GO:0016310 - phosphorylation,GO:0005829 - cytosol,GO:0000166 - nucleotide binding; GO:0005524 - ATP binding; GO:0016301 - kinase activity; GO:0016740 - transferase activity
dacC,activator,murein (peptidoglycan),GO:0006508 - proteolysis; GO:0008360 - regulation of cell shape; GO:0009252 - peptidoglycan biosynthetic process; GO:0009410 - response to xenobiotic stimulus; GO:0071555 - cell wall organization,GO:0005886 - plasma membrane; GO:0016020 - membrane; GO:0030288 - outer membrane-bounded periplasmic space,GO:0004180 - carboxypeptidase activity; GO:0008233 - peptidase activity; GO:0008658 - penicillin binding; GO:0009002 - serine-type D-Ala-D-Ala carboxypeptidase activity; GO:0016787 - hydrolase activity; GO:0042803 - protein homodimerization activity
yiaG,activator,transcriptional level,,GO:0005829 - cytosol,GO:0003677 - DNA binding
msyB,activator,,,GO:0005829 - cytosol,
wrbA,activator,,GO:0006979 - response to oxidative stress,GO:0005829 - cytosol; GO:0016020 - membrane; GO:0032991 - protein-containing complex,GO:0000166 - nucleotide binding; GO:0003955 - NAD(P)H dehydrogenase (quinone) activity; GO:0008753 - NADPH dehydrogenase (quinone) activity; GO:0010181 - FMN binding; GO:0016491 - oxidoreductase activity; GO:0042802 - identical protein binding; GO:0050136 - NADH dehydrogenase (quinone) activity; GO:0050660 - flavin adenine dinucleotide binding; GO:0050661 - NADP binding; GO:0051287 - NAD binding
yccJ,activator,,,GO:0005829 - cytosol,
yegP,activator,DNA repair,GO:0006302 - double-strand break repair,,
otsB,activator,misc. glucose metabolism; osmotic pressure,GO:0005992 - trehalose biosynthetic process; GO:0006970 - response to osmotic stress; GO:0070415 - trehalose metabolism in response to cold stress,GO:0005829 - cytosol,GO:0000287 - magnesium ion binding; GO:0004805 - trehalose-phosphatase activity; GO:0016787 - hydrolase activity; GO:0016791 - phosphatase activity; GO:0046872 - metal ion binding
otsA,activator,misc. glucose metabolism; osmotic pressure; temperature extremes,GO:0005992 - trehalose biosynthetic process; GO:0006950 - response to stress; GO:0006970 - response to osmotic stress; GO:0006974 - DNA damage response; GO:0034605 - cellular response to heat; GO:0070413 - trehalose metabolism in response to stress; GO:0070415 - trehalose metabolism in response to cold stress,"GO:0005829 - cytosol; GO:0005946 - alpha,alpha-trehalose-phosphate synthase complex (UDP-forming)","GO:0003824 - catalytic activity; GO:0003825 - alpha,alpha-trehalose-phosphate synthase (UDP-forming) activity; GO:0004805 - trehalose-phosphatase activity; GO:0016740 - transferase activity; GO:0016757 - glycosyltransferase activity; GO:0016758 - hexosyltransferase activity"
fbaB,activator,glycolysis,GO:0006096 - glycolytic process,GO:0005737 - cytoplasm; GO:0005829 - cytosol; GO:0016020 - membrane,GO:0003824 - catalytic activity; GO:0004332 - fructose-bisphosphate aldolase activity; GO:0005515 - protein binding; GO:0016829 - lyase activity; GO:0042802 - identical protein binding
elaB,activator,,GO:0006974 - DNA damage response; GO:0033554 - cellular response to stress,GO:0005829 - cytosol; GO:0005886 - plasma membrane; GO:0016020 - membrane,GO:0005515 - protein binding; GO:0043022 - ribosome binding
yeaG,activator,posttranslational modification,GO:0006468 - protein phosphorylation; GO:0006995 - cellular response to nitrogen starvation; GO:0046777 - protein autophosphorylation,GO:0005829 - cytosol,GO:0004672 - protein kinase activity
yeaH,activator,,,GO:0005829 - cytosol,
osmY,activator,osmotic pressure,GO:0006970 - response to osmotic stress; GO:0006972 - hyperosmotic response; GO:0061077 - chaperone-mediated protein folding,GO:0030288 - outer membrane-bounded periplasmic space; GO:0042597 - periplasmic space,GO:0005515 - protein binding
yjbJ,activator,,,GO:0005829 - cytosol; GO:0060187 - cell pole,GO:0005515 - protein binding
ecnB,activator,osmotic pressure,GO:0009636 - response to toxic substance,GO:0005886 - plasma membrane; GO:0016020 - membrane,
yahO,activator,,GO:0009314 - response to radiation,GO:0042597 - periplasmic space,
osmC,activator,osmotic pressure,GO:0006972 - hyperosmotic response; GO:0006979 - response to oxidative stress; GO:0033194 - response to hydroperoxide; GO:0098869 - cellular oxidant detoxification,GO:0005737 - cytoplasm; GO:0005829 - cytosol,GO:0004601 - peroxidase activity; GO:0016209 - antioxidant activity; GO:0016491 - oxidoreductase activity; GO:0042803 - protein homodimerization activity; GO:0051920 - peroxiredoxin activity
glgS,activator,cytoplasmic polysaccharides,GO:1900191 - negative regulation of single-species biofilm formation; GO:1900232 - negative regulation of single-species biofilm formation on inanimate substrate; GO:1902201 - negative regulation of bacterial-type flagellum-dependent cell motility,GO:0005829 - cytosol,
yohC,activator,,GO:0006974 - DNA damage response,GO:0005886 - plasma membrane; GO:0016020 - membrane,
hchA,activator,"chaperoning, repair (refolding); detoxification",GO:0006281 - DNA repair; GO:0006974 - DNA damage response; GO:0010447 - response to acidic pH; GO:0019243 - methylglyoxal catabolic process to D-lactate via S-lactoyl-glutathione; GO:0019249 - lactate biosynthetic process; GO:0030091 - protein repair; GO:0036525 - protein deglycation; GO:0042245 - RNA repair; GO:0051595 - response to methylglyoxal; GO:0106044 - guanine deglycation,GO:0005737 - cytoplasm; GO:0005829 - cytosol,"GO:0005515 - protein binding; GO:0008270 - zinc ion binding; GO:0016787 - hydrolase activity; GO:0016790 - thiolester hydrolase activity; GO:0016811 - hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides; GO:0016829 - lyase activity; GO:0019172 - glyoxalase III activity; GO:0036524 - protein deglycase activity; GO:0042803 - protein homodimerization activity; GO:0046872 - metal ion binding"
ariR,activator,"unknown; pH; other (mechanical, nutritional, oxidative stress)",GO:0042542 - response to hydrogen peroxide; GO:0044010 - single-species biofilm formation; GO:0071468 - cellular response to acidic pH,GO:0005829 - cytosol,GO:0003677 - DNA binding; GO:0005515 - protein binding; GO:0042803 - protein homodimerization activity
yebF,activator,,,GO:0005576 - extracellular region; GO:0030288 - outer membrane-bounded periplasmic space,
yjgH,activator,,GO:1901565 - organonitrogen compound catabolic process,GO:0005829 - cytosol,GO:0005515 - protein binding; GO:0019239 - deaminase activity
ydcL,activator,,,GO:0005886 - plasma membrane; GO:0016020 - membrane; GO:0030288 - outer membrane-bounded periplasmic space,
adhP,activator,anaerobic respiration,GO:0006974 - DNA damage response; GO:0045471 - response to ethanol; GO:0046187 - acetaldehyde catabolic process,GO:0005737 - cytoplasm; GO:0005829 - cytosol,"GO:0004022 - alcohol dehydrogenase (NAD+) activity; GO:0008270 - zinc ion binding; GO:0016491 - oxidoreductase activity; GO:0016616 - oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor; GO:0018455 - alcohol dehydrogenase [NAD(P)+] activity; GO:0046872 - metal ion binding; GO:0047639 - alcohol oxidase activity"
dkgA,activator,carbon compounds; methylglyoxal metabolism,GO:0019853 - L-ascorbic acid biosynthetic process; GO:0044281 - small molecule metabolic process; GO:0051596 - methylglyoxal catabolic process,GO:0005737 - cytoplasm; GO:0005829 - cytosol,"GO:0004032 - alditol:NADP+ 1-oxidoreductase activity; GO:0008106 - alcohol dehydrogenase (NADP+) activity; GO:0016491 - oxidoreductase activity; GO:0016616 - oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor; GO:0050580 - 2,5-didehydrogluconate reductase activity"
dps,activator,"incorporation of metal ions; nucleoproteins, basic proteins; starvation",GO:0006879 - intracellular iron ion homeostasis; GO:0006950 - response to stress; GO:0030261 - chromosome condensation; GO:0032297 - negative regulation of DNA-templated DNA replication initiation; GO:0042594 - response to starvation,GO:0005737 - cytoplasm; GO:0009295 - nucleoid; GO:0016020 - membrane; GO:1990084 - DnaA-Dps complex,"GO:0003677 - DNA binding; GO:0005515 - protein binding; GO:0008199 - ferric iron binding; GO:0016491 - oxidoreductase activity; GO:0016722 - oxidoreductase activity, acting on metal ions; GO:0042802 - identical protein binding; GO:0046872 - metal ion binding"
patA,activator,nitrogen metabolism,GO:0009447 - putrescine catabolic process; GO:0019477 - L-lysine catabolic process,GO:0005829 - cytosol,GO:0008483 - transaminase activity; GO:0016740 - transferase activity; GO:0019161 - diamine transaminase activity; GO:0030170 - pyridoxal phosphate binding; GO:0033094 - putrescine--2-oxoglutarate transaminase activity; GO:0042802 - identical protein binding; GO:0042803 - protein homodimerization activity
ybjP,activator,,,GO:0005886 - plasma membrane; GO:0016020 - membrane,
acnA,activator,"TCA cycle; posttranscriptional; other (mechanical, nutritional, oxidative stress)",GO:0006097 - glyoxylate cycle; GO:0006099 - tricarboxylic acid cycle; GO:0006101 - citrate metabolic process; GO:0006979 - response to oxidative stress; GO:0009061 - anaerobic respiration,GO:0005737 - cytoplasm; GO:0005829 - cytosol,"GO:0003723 - RNA binding; GO:0003729 - mRNA binding; GO:0003730 - mRNA 3'-UTR binding; GO:0003994 - aconitate hydratase activity; GO:0005506 - iron ion binding; GO:0016829 - lyase activity; GO:0030350 - iron-responsive element binding; GO:0046872 - metal ion binding; GO:0051536 - iron-sulfur cluster binding; GO:0051539 - 4 iron, 4 sulfur cluster binding"
yhcO,activator,,,GO:0005829 - cytosol,
gabD,activator,aminobutyrate catabolism; putrescine catabolism,GO:0006807 - nitrogen compound metabolic process; GO:0009450 - gamma-aminobutyric acid catabolic process; GO:0051289 - protein homotetramerization,GO:0005829 - cytosol; GO:0032991 - protein-containing complex,"GO:0004777 - succinate-semialdehyde dehydrogenase (NAD+) activity; GO:0009013 - succinate-semialdehyde dehydrogenase [NAD(P)+] activity; GO:0016491 - oxidoreductase activity; GO:0016620 - oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor; GO:0036243 - succinate-semialdehyde dehydrogenase (NADP+) activity; GO:0042802 - identical protein binding; GO:0050661 - NADP binding; GO:0102810 - glutarate-semialdehyde dehydrogenase (NADP+) activity"
gabT,activator,aminobutyrate catabolism; putrescine catabolism,GO:0009448 - gamma-aminobutyric acid metabolic process; GO:0009450 - gamma-aminobutyric acid catabolic process; GO:0042450 - arginine biosynthetic process via ornithine,GO:0005829 - cytosol,GO:0003867 - 4-aminobutyrate transaminase activity; GO:0003992 - N2-acetyl-L-ornithine:2-oxoglutarate 5-aminotransferase activity; GO:0008483 - transaminase activity; GO:0016740 - transferase activity; GO:0030170 - pyridoxal phosphate binding; GO:0034386 - 4-aminobutyrate:2-oxoglutarate transaminase activity; GO:0042803 - protein homodimerization activity; GO:0047589 - 5-aminovalerate transaminase activity
gabP,activator,"carbon compounds; Porters (Uni-, Sym- and Antiporters); membrane",GO:0006865 - amino acid transport; GO:0006974 - DNA damage response; GO:0006995 - cellular response to nitrogen starvation; GO:0009450 - gamma-aminobutyric acid catabolic process; GO:0015812 - gamma-aminobutyric acid transport; GO:0055085 - transmembrane transport; GO:0090549 - response to carbon starvation,GO:0005886 - plasma membrane; GO:0016020 - membrane,GO:0015185 - gamma-aminobutyric acid transmembrane transporter activity; GO:0015291 - secondary active transmembrane transporter activity
ychH,activator,"other (mechanical, nutritional, oxidative stress)",GO:0044011 - single-species biofilm formation on inanimate substrate; GO:0070301 - cellular response to hydrogen peroxide; GO:0071276 - cellular response to cadmium ion,GO:0005886 - plasma membrane,
blc,activator,,GO:0000302 - response to reactive oxygen species; GO:0006629 - lipid metabolic process; GO:0006950 - response to stress; GO:0006974 - DNA damage response,GO:0005737 - cytoplasm; GO:0009279 - cell outer membrane; GO:0016020 - membrane,GO:0008289 - lipid binding; GO:0015485 - cholesterol binding
yhhA,activator,,,,GO:0005515 - protein binding
ydcK,activator,,,GO:0005829 - cytosol,GO:0016740 - transferase activity; GO:0016746 - acyltransferase activity
gadX,activator,Transcription related; activator,GO:0006351 - DNA-templated transcription; GO:0006355 - regulation of DNA-templated transcription; GO:0006974 - DNA damage response; GO:0045893 - positive regulation of DNA-templated transcription,GO:0005829 - cytosol,GO:0000976 - transcription cis-regulatory region binding; GO:0000987 - cis-regulatory region sequence-specific DNA binding; GO:0001216 - DNA-binding transcription activator activity; GO:0003677 - DNA binding; GO:0003700 - DNA-binding transcription factor activity; GO:0042803 - protein homodimerization activity; GO:0043565 - sequence-specific DNA binding
yedP,activator,,GO:0051479 - mannosylglycerate biosynthetic process,GO:0005737 - cytoplasm; GO:0005829 - cytosol,GO:0000287 - magnesium ion binding; GO:0016787 - hydrolase activity; GO:0016791 - phosphatase activity; GO:0046872 - metal ion binding; GO:0050531 - mannosyl-3-phosphoglycerate phosphatase activity
gadC,activator,"Porters (Uni-, Sym- and Antiporters); membrane",GO:0006865 - amino acid transport; GO:0051454 - intracellular pH elevation; GO:0055085 - transmembrane transport,GO:0005886 - plasma membrane; GO:0016020 - membrane,GO:0015297 - antiporter activity; GO:0022857 - transmembrane transporter activity
ybgS,activator,,,GO:0030288 - outer membrane-bounded periplasmic space,
yajO,activator,"cofactors, small molecule carriers",GO:0006772 - thiamine metabolic process; GO:1902767 - isoprenoid biosynthetic process via mevalonate,GO:0005829 - cytosol,GO:0016491 - oxidoreductase activity
ynfD,activator,,,GO:0005576 - extracellular region,
yhiD,activator,,,GO:0005886 - plasma membrane; GO:0016020 - membrane,
hdeA,activator,defense/survival; pH,GO:0061077 - chaperone-mediated protein folding; GO:0071468 - cellular response to acidic pH; GO:1990451 - cellular stress response to acidic pH,GO:0030288 - outer membrane-bounded periplasmic space; GO:0042597 - periplasmic space,GO:0042802 - identical protein binding; GO:0042803 - protein homodimerization activity; GO:0044183 - protein folding chaperone; GO:0051082 - unfolded protein binding
hdeB,activator,pH,GO:0009268 - response to pH; GO:0010447 - response to acidic pH; GO:1990451 - cellular stress response to acidic pH,GO:0030288 - outer membrane-bounded periplasmic space; GO:0042597 - periplasmic space,GO:0051082 - unfolded protein binding
yccU,activator,,,GO:0005829 - cytosol,GO:0005515 - protein binding
hdeD,activator,pH,GO:0009268 - response to pH,GO:0005886 - plasma membrane; GO:0016020 - membrane,
thrA,activator,homoserine; lysine,GO:0006520 - amino acid metabolic process; GO:0008152 - metabolic process; GO:0008652 - amino acid biosynthetic process; GO:0009067 - aspartate family amino acid biosynthetic process; GO:0009088 - threonine biosynthetic process; GO:0009089 - lysine biosynthetic process via diaminopimelate; GO:0009090 - homoserine biosynthetic process; GO:0016310 - phosphorylation; GO:0051289 - protein homotetramerization,GO:0005829 - cytosol,GO:0000166 - nucleotide binding; GO:0003824 - catalytic activity; GO:0004072 - aspartate kinase activity; GO:0004412 - homoserine dehydrogenase activity; GO:0005524 - ATP binding; GO:0016301 - kinase activity; GO:0016491 - oxidoreductase activity; GO:0016740 - transferase activity; GO:0042802 - identical protein binding; GO:0050661 - NADP binding
thrB,activator,threonine,GO:0006566 - threonine metabolic process; GO:0008652 - amino acid biosynthetic process; GO:0009088 - threonine biosynthetic process; GO:0016310 - phosphorylation,GO:0005737 - cytoplasm; GO:0005829 - cytosol,GO:0000166 - nucleotide binding; GO:0004413 - homoserine kinase activity; GO:0005524 - ATP binding; GO:0016301 - kinase activity; GO:0016740 - transferase activity
thrL,activator,threonine; regulation,GO:0008652 - amino acid biosynthetic process; GO:0009088 - threonine biosynthetic process; GO:0031554 - regulation of termination of DNA-templated transcription; GO:0031555 - transcriptional attenuation; GO:0031556 - transcriptional attenuation by ribosome,GO:0005829 - cytosol,
thrC,activator,threonine,GO:0006520 - amino acid metabolic process; GO:0008652 - amino acid biosynthetic process; GO:0009071 - serine family amino acid catabolic process; GO:0009088 - threonine biosynthetic process; GO:0016311 - dephosphorylation; GO:0046360 - 2-oxobutyrate biosynthetic process,GO:0005829 - cytosol,GO:0004795 - threonine synthase activity; GO:0016829 - lyase activity; GO:0030170 - pyridoxal phosphate binding
cysQ,activator,fatty acids and phosphatidic acid; sulfur metabolism,GO:0000103 - sulfate assimilation; GO:0006790 - sulfur compound metabolic process; GO:0046854 - phosphatidylinositol phosphate biosynthetic process; GO:0050427 - 3'-phosphoadenosine 5'-phosphosulfate metabolic process,GO:0005829 - cytosol; GO:0005886 - plasma membrane; GO:0016020 - membrane,"GO:0000287 - magnesium ion binding; GO:0008441 - 3'(2'),5'-bisphosphate nucleotidase activity; GO:0016787 - hydrolase activity; GO:0046872 - metal ion binding"
glaH,activator,amino acids,GO:0019477 - L-lysine catabolic process; GO:0090549 - response to carbon starvation,GO:0005829 - cytosol; GO:0032991 - protein-containing complex,"GO:0005506 - iron ion binding; GO:0008198 - ferrous iron binding; GO:0016491 - oxidoreductase activity; GO:0042802 - identical protein binding; GO:0046872 - metal ion binding; GO:0050498 - oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, with 2-oxoglutarate as one donor, and the other dehydrogenated; GO:0051213 - dioxygenase activity; GO:0106343 - glutarate dioxygenase activity"
