Regulated-By from All promoters of E. coli K-12 substr. MG1655	Matches	Mode	Promoters - genes downstream of promoter	Accession-1
Regulation of ycdZp4 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	ycdZp4	-	ycdZ	b1036
Regulation of ycdZp4 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	ycdZp4	-	ycdZ	b1036
Regulation of ychHp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	ychHp	+	ychH	b1205
Regulation of yeiPp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	yeiPp	+	yeiP	b2171
Regulation of yeiWp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	yeiWp	+	yeiW	b4502
Regulation of yhfAp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	yhfAp	-	yhfA	b3356
Regulation of yhfAp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	yhfAp	+	yhfA	b3356
Regulation of yiaKp1 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	yiaKp1		yiaM // sgbE // sgbU // sgbH // lyxK // yiaO // yiaN // yiaL // yiaK	b3577 // b3583 // b3582 // b3581 // b3580 // b3579 // b3578 // b3576 // b3575
Regulation of yiaKp1 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	yiaKp1	+	yiaM // sgbE // sgbU // sgbH // lyxK // yiaO // yiaN // yiaL // yiaK	b3577 // b3583 // b3582 // b3581 // b3580 // b3579 // b3578 // b3576 // b3575
Regulation of yjhIp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	yjhIp	+	yjhI // yjhH // yjhG	b4299 // b4298 // b4297
Regulation of yjiYp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	yjiYp	+	btsT	b4354
Regulation of ykgRp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	ykgRp	+	ykgR	b4671
Regulation of ytfKp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	ytfKp2	+	ytfK	b4217
Regulation of zraSp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	zraSp	+	zraR // zraS	b4004 // b4003
