Regulated-By from All promoters of E. coli K-12 substr. MG1655	Matches	Mode	Promoters - genes downstream of promoter	Accession-1
Regulation of melRp by DNA-binding transcriptional dual regulator MelR	melRp	-	melR	b4118
Regulation of mepHp by DNA-binding transcriptional dual regulator NsrR	mepHp	-	mepH	b1655
Regulation of metAp1 by DNA-binding transcriptional repressor MetJ-S-adenosyl-L-methionine	metAp1	-	metA	b4013
Regulation of metAp1 by DNA-binding transcriptional repressor MetJ-S-adenosyl-L-methionine	metAp1	-	metA	b4013
Regulation of metBp by DNA-binding transcriptional dual regulator PhoP-phosphorylated	metBp	+	metL // metB	b3940 // b3939
Regulation of metBp by DNA-binding transcriptional repressor MetJ-S-adenosyl-L-methionine	metBp	-	metL // metB	b3940 // b3939
Regulation of metBp by DNA-binding transcriptional repressor MetJ-S-adenosyl-L-methionine	metBp	-	metL // metB	b3940 // b3939
Regulation of metBp by DNA-binding transcriptional repressor MetJ-S-adenosyl-L-methionine	metBp	-	metL // metB	b3940 // b3939
Regulation of metBp by DNA-binding transcriptional repressor MetJ-S-adenosyl-L-methionine	metBp	-	metL // metB	b3940 // b3939
Regulation of metBp by DNA-binding transcriptional repressor MetJ-S-adenosyl-L-methionine	metBp	-	metL // metB	b3940 // b3939
Regulation of metBp by DNA-binding transcriptional repressor MetJ-S-adenosyl-L-methionine	metBp	-	metL // metB	b3940 // b3939
Regulation of metBp by HypT-[Met-oxidized] DNA-binding transcriptional dual regulator	metBp	+	metL // metB	b3940 // b3939
Regulation of metCp by DNA-binding transcriptional repressor MetJ-S-adenosyl-L-methionine	metCp	-	metC	b3008
Regulation of metEp by DNA-binding transcriptional dual regulator OxyR	metEp	+	metE	b3829
Regulation of metEp by DNA-binding transcriptional repressor MetJ-S-adenosyl-L-methionine	metEp	-	metE	b3829
Regulation of metEp by DNA-binding transcriptional repressor MetJ-S-adenosyl-L-methionine	metEp	-	metE	b3829
Regulation of metEp by MetR-L-homocysteine	metEp	+	metE	b3829
Regulation of metEp by MetR-L-homocysteine	metEp	+	metE	b3829
Regulation of metFp by DNA-binding transcriptional repressor MetJ-S-adenosyl-L-methionine	metFp	-	metF	b3941
Regulation of metFp by DNA-binding transcriptional repressor MetJ-S-adenosyl-L-methionine	metFp	-	metF	b3941
Regulation of metFp by DNA-binding transcriptional repressor MetJ-S-adenosyl-L-methionine	metFp	-	metF	b3941
Regulation of metFp by DNA-binding transcriptional repressor MetJ-S-adenosyl-L-methionine	metFp	-	metF	b3941
Regulation of metFp by DNA-binding transcriptional repressor MetJ-S-adenosyl-L-methionine	metFp	-	metF	b3941
Regulation of metFp by DNA-binding transcriptional repressor MetJ-S-adenosyl-L-methionine	metFp	-	metF	b3941
Regulation of metFp by DNA-binding transcriptional repressor MetJ-S-adenosyl-L-methionine	metFp	-	metF	b3941
Regulation of metHp1 by DNA-binding transcriptional dual regulator MetR	metHp1	+	metH	b4019
Regulation of metHp1 by [2Fe-2S] cluster DNA-binding transcriptional dual regulator	metHp1	-	metH	b4019
Regulation of metJp2 by [2Fe-2S] cluster DNA-binding transcriptional dual regulator	metJp2	-	metJ	b3938
Regulation of metKp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	metKp	-	metK	b2942
Regulation of metKp by DNA-binding transcriptional repressor MetJ-S-adenosyl-L-methionine	metKp	-	metK	b2942
Regulation of metKp by DNA-binding transcriptional repressor MetJ-S-adenosyl-L-methionine	metKp	-	metK	b2942
Regulation of metKp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	metKp2	-	metK	b2942
Regulation of metKp2 by DNA-binding transcriptional repressor MetJ-S-adenosyl-L-methionine	metKp2	-	metK	b2942
Regulation of metKp2 by DNA-binding transcriptional repressor MetJ-S-adenosyl-L-methionine	metKp2	-	metK	b2942
Regulation of metNp by DNA-binding transcriptional repressor MetJ-S-adenosyl-L-methionine	metNp	-	metQ // metI // metN	b0197 // b0198 // b0199
Regulation of metNp by DNA-binding transcriptional repressor MetJ-S-adenosyl-L-methionine	metNp	-	metQ // metI // metN	b0197 // b0198 // b0199
Regulation of metNp by HypT-[Met-oxidized] DNA-binding transcriptional dual regulator	metNp	+	metQ // metI // metN	b0197 // b0198 // b0199
Regulation of metRp1 by DNA-binding transcriptional dual regulator OxyR	metRp1	+	metR	b3828
Regulation of metRp1 by DNA-binding transcriptional repressor MetJ-S-adenosyl-L-methionine	metRp1	-	metR	b3828
Regulation of metRp1 by DNA-binding transcriptional repressor MetJ-S-adenosyl-L-methionine	metRp1	-	metR	b3828
Regulation of metRp1 by MetR-L-homocysteine	metRp1	-	metR	b3828
Regulation of metRp1 by MetR-L-homocysteine	metRp1	-	metR	b3828
Regulation of metRp2 by DNA-binding transcriptional repressor MetJ-S-adenosyl-L-methionine	metRp2	-	metR	b3828
Regulation of metRp2 by DNA-binding transcriptional repressor MetJ-S-adenosyl-L-methionine	metRp2	-	metR	b3828
Regulation of metRp2 by MetR-L-homocysteine	metRp2	-	metR	b3828
Regulation of metRp2 by MetR-L-homocysteine	metRp2	-	metR	b3828
Regulation of metTp by DNA-binding transcriptional dual regulator Fis	metTp	+	glnX // glnV // metU // glnW // glnU // leuW // metT	b0664 // b0665 // b0666 // b0668 // b0670 // b0672 // b0673
Regulation of metTp by ppGpp	metTp	-	glnX // glnV // metU // glnW // glnU // leuW // metT	b0664 // b0665 // b0666 // b0668 // b0670 // b0672 // b0673
Regulation of metYp1 by DNA-binding transcriptional dual regulator Fis	metYp1	+	metY // pnp // rpsO // truB // rbfA // infB // nusA // rimP	b3171 // b3164 // b3165 // b3166 // b3167 // b3168 // b3169 // b3170
Regulation of metYp2 by ArgR-L-arginine DNA-binding transcriptional dual regulator	metYp2	-	metY // pnp // rpsO // truB // rbfA // infB // nusA // rimP	b3171 // b3164 // b3165 // b3166 // b3167 // b3168 // b3169 // b3170
Regulation of metYp2 by ArgR-L-arginine DNA-binding transcriptional dual regulator	metYp2	-	metY // pnp // rpsO // truB // rbfA // infB // nusA // rimP	b3171 // b3164 // b3165 // b3166 // b3167 // b3168 // b3169 // b3170
Regulation of metYp2 by ArgR-L-arginine DNA-binding transcriptional dual regulator	metYp2	-	metY // pnp // rpsO // truB // rbfA // infB // nusA // rimP	b3171 // b3164 // b3165 // b3166 // b3167 // b3168 // b3169 // b3170
Regulation of metYp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	metYp2	-	metY // pnp // rpsO // truB // rbfA // infB // nusA // rimP	b3171 // b3164 // b3165 // b3166 // b3167 // b3168 // b3169 // b3170
Regulation of metZp by ppGpp	metZp	-	metZ // metW // metV	b2814 // b2815 // b2816
Regulation of mglAp by DNA-binding transcriptional dual regulator Fis	mglAp	-	mglC // mglA	b2148 // b2149
Regulation of mglBp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	mglBp	+	mglC // mglA // mglB	b2148 // b2149 // b2150
Regulation of mglBp by DNA-binding transcriptional dual regulator GalR	mglBp	-	mglC // mglA // mglB	b2148 // b2149 // b2150
Regulation of mglBp by DNA-binding transcriptional dual regulator GalS	mglBp	-	mglC // mglA // mglB	b2148 // b2149 // b2150
Regulation of mglBp by FlhDC DNA-binding transcriptional dual regulator	mglBp	-	mglC // mglA // mglB	b2148 // b2149 // b2150
Regulation of mglBp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	mglBp2	+	mglC // mglA // mglB	b2148 // b2149 // b2150
Regulation of mglBp2 by DNA-binding transcriptional dual regulator GalR	mglBp2	-	mglC // mglA // mglB	b2148 // b2149 // b2150
Regulation of mglBp2 by DNA-binding transcriptional dual regulator GalS	mglBp2	-	mglC // mglA // mglB	b2148 // b2149 // b2150
Regulation of mglBp2 by FlhDC DNA-binding transcriptional dual regulator	mglBp2	-	mglC // mglA // mglB	b2148 // b2149 // b2150
Regulation of mgrBp by DNA-binding transcriptional dual regulator PhoP-phosphorylated	mgrBp	+	mgrB	b1826
Regulation of mgrRp by DNA-binding transcriptional dual regulator PhoP-phosphorylated	mgrRp	+	mgrR	b4698
Regulation of mgtAp1 by DNA-binding transcriptional dual regulator PhoP-phosphorylated	mgtAp1	+	mgtL // mgtA	b4702 // b4242
Regulation of mgtSp by DNA-binding transcriptional dual regulator PhoP-phosphorylated	mgtSp	+	mgtS	b4599
Regulation of mhpAp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	mhpAp	+	mhpF // mhpE // mhpD // mhpC // mhpB // mhpA	b0351 // b0352 // b0350 // b0349 // b0348 // b0347
Regulation of mhpAp by DNA-binding transcriptional activator MhpR-3-(3-hydroxyphenyl)propanoate	mhpAp	+	mhpF // mhpE // mhpD // mhpC // mhpB // mhpA	b0351 // b0352 // b0350 // b0349 // b0348 // b0347
Regulation of mhpRp1 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	mhpRp1	+	lacI // mhpR	b0345 // b0346
Regulation of mhpTp by DNA-binding transcriptional dual regulator NsrR	mhpTp	-	mhpT	b0353
Regulation of micFp1 by DNA-binding transcriptional dual regulator H-NS	micFp1	-	micF	b4439
Regulation of micFp1 by DNA-binding transcriptional dual regulator HU	micFp1	+	micF	b4439
Regulation of micFp1 by DNA-binding transcriptional dual regulator IHF	micFp1	-	micF	b4439
Regulation of micFp1 by DNA-binding transcriptional dual regulator Lrp	micFp1	-	micF	b4439
Regulation of micFp1 by DNA-binding transcriptional dual regulator Lrp	micFp1	-	micF	b4439
Regulation of micFp1 by DNA-binding transcriptional dual regulator Lrp	micFp1	-	micF	b4439
Regulation of micFp1 by DNA-binding transcriptional dual regulator Lrp-L-leucine	micFp1	-	micF	b4439
Regulation of micFp1 by DNA-binding transcriptional dual regulator MarA	micFp1	+	micF	b4439
Regulation of micFp1 by DNA-binding transcriptional dual regulator OmpR-phosphorylated	micFp1	+	micF	b4439
Regulation of micFp1 by DNA-binding transcriptional dual regulator OmpR-phosphorylated	micFp1	+	micF	b4439
Regulation of micFp1 by DNA-binding transcriptional dual regulator OmpR-phosphorylated	micFp1	+	micF	b4439
Regulation of micFp1 by DNA-binding transcriptional dual regulator Rob	micFp1	+	micF	b4439
Regulation of micFp1 by DNA-binding transcriptional dual regulator SoxS	micFp1	+	micF	b4439
Regulation of micFp1 by DNA-binding transcriptional dual regulator SoxS	micFp1	+	micF	b4439
Regulation of micFp1 by DNA-binding transcriptional repressor AcrR	micFp1	-	micF	b4439
Regulation of micFp2 by DNA-binding transcriptional dual regulator H-NS	micFp2	-	micF	b4439
Regulation of micFp2 by DNA-binding transcriptional dual regulator HU	micFp2	+	micF	b4439
Regulation of micFp2 by DNA-binding transcriptional dual regulator IHF	micFp2	-	micF	b4439
Regulation of micFp2 by DNA-binding transcriptional dual regulator Lrp	micFp2	-	micF	b4439
Regulation of micFp2 by DNA-binding transcriptional dual regulator Lrp	micFp2	-	micF	b4439
Regulation of micFp2 by DNA-binding transcriptional dual regulator Lrp	micFp2	-	micF	b4439
Regulation of micFp2 by DNA-binding transcriptional dual regulator Lrp-L-leucine	micFp2	-	micF	b4439
Regulation of micFp2 by DNA-binding transcriptional dual regulator MarA	micFp2	+	micF	b4439
Regulation of micFp2 by DNA-binding transcriptional dual regulator OmpR-phosphorylated	micFp2	+	micF	b4439
Regulation of micFp2 by DNA-binding transcriptional dual regulator OmpR-phosphorylated	micFp2	+	micF	b4439
Regulation of micFp2 by DNA-binding transcriptional dual regulator OmpR-phosphorylated	micFp2	+	micF	b4439
Regulation of micFp2 by DNA-binding transcriptional dual regulator Rob	micFp2	+	micF	b4439
Regulation of micFp2 by DNA-binding transcriptional dual regulator SoxS	micFp2	+	micF	b4439
Regulation of micFp2 by DNA-binding transcriptional dual regulator SoxS	micFp2	+	micF	b4439
Regulation of micFp2 by DNA-binding transcriptional repressor AcrR	micFp2	-	micF	b4439
Regulation of mioCp by DNA-binding transcriptional repressor MraZ	mioCp	-	mioC	b3742
Regulation of mioCp by DNA-binding transcriptional repressor MraZ	mioCp	-	mioC	b3742
Regulation of mioCp by DNA-binding transcriptional repressor MraZ	mioCp	-	mioC	b3742
Regulation of mioCp by ppGpp	mioCp	-	mioC	b3742
Regulation of mipAp by DNA-binding transcriptional dual regulator PhoB-phosphorylated	mipAp	+	mipA	b1782
Regulation of mlaFp2 by DNA-binding transcriptional dual regulator MarA	mlaFp2	+	mlaF // mlaE // mlaD // mlaC // mlaB	b3195 // b3194 // b3193 // b3192 // b3191
Regulation of mlcp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	mlcp	+	bidA // mlc	b1593 // b1594
Regulation of mlcp by DNA-binding transcriptional repressor Mlc	mlcp	-	bidA // mlc	b1593 // b1594
Regulation of mlcp1 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	mlcp1	-	mlc	b1594
Regulation of mlcp1 by DNA-binding transcriptional repressor Mlc	mlcp1	-	mlc	b1594
Regulation of mlcp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	mlcp2	+	bidA // mlc	b1593 // b1594
Regulation of mlcp2 by DNA-binding transcriptional repressor Mlc	mlcp2	-	bidA // mlc	b1593 // b1594
Regulation of mlrAp by DNA-binding transcriptional regulator FliZ	mlrAp	-	mlrA	b2127
Regulation of mlrAp2 by DNA-binding transcriptional regulator FliZ	mlrAp2	-	mlrA	b2127
Regulation of mltFp by DNA-binding transcriptional dual regulator Rob	mltFp	+	mltF	b2558
Regulation of mngAp by DNA-binding transcriptional repressor MngR	mngAp	-	mngB // mngA	b0732 // b0731
Regulation of mngAp by DNA-binding transcriptional repressor MngR	mngAp	-	mngB // mngA	b0732 // b0731
Regulation of mngRp by DNA-binding transcriptional repressor MngR	mngRp	-	mngR	b0730
Regulation of mngRp by DNA-binding transcriptional repressor MngR	mngRp	-	mngR	b0730
Regulation of mnmGp2 by ppGpp	mnmGp2	-	mnmG // rsmG	b3741 // b3740
Regulation of mntHp by DNA-binding transcriptional dual regulator OxyR	mntHp	+	mntH	b2392
Regulation of mntHp by DNA-binding transcriptional dual regulator OxyR	mntHp	+	mntH	b2392
Regulation of mntHp by MntR-Mn2+ DNA-binding transcriptional dual regulator	mntHp	-	mntH	b2392
Regulation of mntHp by [2Fe-2S] cluster DNA-binding transcriptional dual regulator	mntHp	-	mntH	b2392
Regulation of mntPp by MntR-Mn2+ DNA-binding transcriptional dual regulator	mntPp	+	mntP	b1821
Regulation of mntPp by MntR-Mn2+ DNA-binding transcriptional dual regulator	mntPp	+	mntP	b1821
Regulation of mntPp by [2Fe-2S] cluster DNA-binding transcriptional dual regulator	mntPp	+	mntP	b1821
Regulation of moaAp1 by DNA-binding transcriptional dual regulator CueR-Cu+	moaAp1	-	moaA // moaB // moaC // moaD // moaE	b0781 // b0782 // b0783 // b0784 // b0785
Regulation of moaAp1 by DNA-binding transcriptional dual regulator FNR	moaAp1	+	moaA // moaB // moaC // moaD // moaE	b0781 // b0782 // b0783 // b0784 // b0785
Regulation of moaAp2 by DNA-binding transcriptional dual regulator ModE-molybdate	moaAp2	+	moaE // moaD // moaC // moaB // moaA	b0785 // b0784 // b0783 // b0782 // b0781
Regulation of modAp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	modAp2	+	modA // modB // modC	b0763 // b0764 // b0765
Regulation of modAp2 by DNA-binding transcriptional dual regulator ModE-molybdate	modAp2	-	modA // modB // modC	b0763 // b0764 // b0765
Regulation of moeAp by DNA-binding transcriptional dual regulator ArcA-phosphorylated	moeAp	+	moeB // moeA	b0826 // b0827
Regulation of moeAp by DNA-binding transcriptional dual regulator FNR	moeAp	-	moeB // moeA	b0826 // b0827
Regulation of moeAp by DNA-binding transcriptional dual regulator NarL-phosphorylated	moeAp	+	moeB // moeA	b0826 // b0827
Regulation of moeAp by DNA-binding transcriptional dual regulator NarL-phosphorylated	moeAp	+	moeB // moeA	b0826 // b0827
Regulation of moeAp by DNA-binding transcriptional dual regulator NsrR	moeAp	+	moeB // moeA	b0826 // b0827
Regulation of motRp by DNA-binding transcriptional dual regulator CpxR-phosphorylated	motRp	-	motR // cheW // cheA // motB // motA	b4828 // b1887 // b1888 // b1889 // b1890
Regulation of mplp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	mplp	+	mpl	b4233
Regulation of mplp by DNA-binding transcriptional dual regulator Cra	mplp	-	mpl	b4233
Regulation of mplp1 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	mplp1	+	mpl	b4233
Regulation of mplp1 by DNA-binding transcriptional dual regulator Cra	mplp1	-	mpl	b4233
Regulation of mprAp by DNA-binding transcriptional repressor MprA	mprAp	-	mprA // emrA // emrB	b2684 // b2685 // b2686
Regulation of mqsRp1 by antitoxin of the MqsRA TA system / DNA-binding transcriptional repressor MqsA	mqsRp1	-	mqsR // mqsA	b3022 // b3021
Regulation of mqsRp1 by antitoxin of the MqsRA TA system / DNA-binding transcriptional repressor MqsA	mqsRp1	-	mqsR // mqsA	b3022 // b3021
Regulation of mraZp by DNA-binding transcriptional dual regulator PdhR	mraZp	-	ftsO // lpxC // ftsZ // ftsA // ftsQ // ddlB // murC // murG // ftsW // murD // mraY // murF // murE // ftsI // ftsL // rsmH // mraZ	b4810 // b0096 // b0095 // b0094 // b0093 // b0092 // b0091 // b0090 // b0089 // b0088 // b0087 // b0086 // b0085 // b0084 // b0083 // b0082 // b0081
Regulation of mraZp by DNA-binding transcriptional repressor MraZ	mraZp	-	ftsO // lpxC // ftsZ // ftsA // ftsQ // ddlB // murC // murG // ftsW // murD // mraY // murF // murE // ftsI // ftsL // rsmH // mraZ	b4810 // b0096 // b0095 // b0094 // b0093 // b0092 // b0091 // b0090 // b0089 // b0088 // b0087 // b0086 // b0085 // b0084 // b0083 // b0082 // b0081
Regulation of mraZp by DNA-binding transcriptional repressor MraZ	mraZp	-	ftsO // lpxC // ftsZ // ftsA // ftsQ // ddlB // murC // murG // ftsW // murD // mraY // murF // murE // ftsI // ftsL // rsmH // mraZ	b4810 // b0096 // b0095 // b0094 // b0093 // b0092 // b0091 // b0090 // b0089 // b0088 // b0087 // b0086 // b0085 // b0084 // b0083 // b0082 // b0081
Regulation of mraZp by DNA-binding transcriptional repressor MraZ	mraZp	-	ftsO // lpxC // ftsZ // ftsA // ftsQ // ddlB // murC // murG // ftsW // murD // mraY // murF // murE // ftsI // ftsL // rsmH // mraZ	b4810 // b0096 // b0095 // b0094 // b0093 // b0092 // b0091 // b0090 // b0089 // b0088 // b0087 // b0086 // b0085 // b0084 // b0083 // b0082 // b0081
Regulation of mreBp1 by DNA binding transcriptional dual regulator BolA-phosphorylated	mreBp1	-	mreB // mreD // mreC	b3251 // b3249 // b3250
Regulation of msrAp by DNA-binding transcriptional dual regulator Fis	msrAp	-	msrA	b4219
Regulation of msrAp by DNA-binding transcriptional dual regulator Fis	msrAp	-	msrA	b4219
Regulation of mtlAp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	mtlAp	+	mtlA // mtlD // mtlR	b3599 // b3600 // b3601
Regulation of mtlAp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	mtlAp	+	mtlA // mtlD // mtlR	b3599 // b3600 // b3601
Regulation of mtlAp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	mtlAp	+	mtlA // mtlD // mtlR	b3599 // b3600 // b3601
Regulation of mtlAp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	mtlAp	+	mtlA // mtlD // mtlR	b3599 // b3600 // b3601
Regulation of mtlAp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	mtlAp	+	mtlA // mtlD // mtlR	b3599 // b3600 // b3601
Regulation of mtlAp by DNA-binding transcriptional dual regulator Cra	mtlAp	-	mtlA // mtlD // mtlR	b3599 // b3600 // b3601
Regulation of mtlAp by DNA-binding transcriptional dual regulator Fis	mtlAp	-	mtlA // mtlD // mtlR	b3599 // b3600 // b3601
Regulation of mtrp2 by DNA-binding transcriptional dual regulator HU	mtrp2	-	mtr	b3161
Regulation of mtrp2 by DNA-binding transcriptional dual regulator IHF	mtrp2	-	mtr	b3161
Regulation of mtrp2 by DNA-binding transcriptional repressor TrpR-L-tryptophan	mtrp2	-	mtr	b3161
Regulation of mtrp2 by DNA-binding transcriptional repressor TrpR-L-tryptophan	mtrp2	-	mtr	b3161
Regulation of mtrp2 by DNA-binding transcriptional repressor TyrR-L-tyrosine	mtrp2	+	mtr	b3161
Regulation of mtrp2 by DNA-binding transcriptional repressor TyrR-L-tyrosine	mtrp2	+	mtr	b3161
Regulation of murQp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	murQp	+	murP // murQ	b2429 // b2428
Regulation of murQp by DNA-binding transcriptional dual regulator MurR	murQp	-	murP // murQ	b2429 // b2428
Regulation of murQp by DNA-binding transcriptional dual regulator MurR	murQp	-	murP // murQ	b2429 // b2428
Regulation of murQp1 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	murQp1	+	murP // murQ	b2429 // b2428
Regulation of murQp1 by DNA-binding transcriptional dual regulator MurR	murQp1	-	murP // murQ	b2429 // b2428
Regulation of murQp1 by DNA-binding transcriptional dual regulator MurR	murQp1	-	murP // murQ	b2429 // b2428
Regulation of murQp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	murQp2	+	murP // murQ	b2429 // b2428
Regulation of murQp2 by DNA-binding transcriptional dual regulator MurR	murQp2	-	murP // murQ	b2429 // b2428
Regulation of murQp2 by DNA-binding transcriptional dual regulator MurR	murQp2	-	murP // murQ	b2429 // b2428
Regulation of murRp by DNA-binding transcriptional dual regulator MurR	murRp	+	murR	b2427
Regulation of murRp by DNA-binding transcriptional dual regulator MurR	murRp	-	murR	b2427
Regulation of murRp2 by DNA-binding transcriptional dual regulator MurR	murRp2	-	murR	b2427
Regulation of murRp2 by DNA-binding transcriptional dual regulator MurR	murRp2	+	murR	b2427
Regulation of nacp by DNA-binding transcriptional dual regulator FNR	nacp	-	nac	b1988
Regulation of nacp by DNA-binding transcriptional dual regulator Nac	nacp	-	nac	b1988
Regulation of nacp by [2Fe-2S] cluster DNA-binding transcriptional dual regulator	nacp	-	nac	b1988
Regulation of nadAp by DNA-binding transcriptional repressor/NMN adenylyltransferase NadR	nadAp	-	pnuC // nadA	b0751 // b0750
Regulation of nadBp by DNA-binding transcriptional repressor/NMN adenylyltransferase NadR	nadBp	-	nadB	b2574
Regulation of nadCp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	nadCp	+	nadC	b0109
Regulation of nagAp by DNA-binding transcriptional dual regulator PhoP-phosphorylated	nagAp	+	nagA	b0677
Regulation of nagBp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	nagBp	-	umpH // nagC // nagA // nagB	b0675 // b0676 // b0677 // b0678
Regulation of nagBp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	nagBp	+	umpH // nagC // nagA // nagB	b0675 // b0676 // b0677 // b0678
Regulation of nagBp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	nagBp	-	umpH // nagC // nagA // nagB	b0675 // b0676 // b0677 // b0678
Regulation of nagBp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	nagBp	+	umpH // nagC // nagA // nagB	b0675 // b0676 // b0677 // b0678
Regulation of nagBp by DNA-binding transcriptional dual regulator NagC	nagBp	-	umpH // nagC // nagA // nagB	b0675 // b0676 // b0677 // b0678
Regulation of nagBp by DNA-binding transcriptional dual regulator NagC	nagBp	-	umpH // nagC // nagA // nagB	b0675 // b0676 // b0677 // b0678
Regulation of nagEp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	nagEp	+	nagE	b0679
Regulation of nagEp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	nagEp	-	nagE	b0679
Regulation of nagEp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	nagEp	-	nagE	b0679
Regulation of nagEp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	nagEp	+	nagE	b0679
Regulation of nagEp by DNA-binding transcriptional dual regulator NagC	nagEp	-	nagE	b0679
Regulation of nagEp by DNA-binding transcriptional dual regulator NagC	nagEp	-	nagE	b0679
Regulation of nanAp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	nanAp	+	nanA // nanQ // nanK // nanE // nanT	b3225 // b3221 // b3222 // b3223 // b3224
Regulation of nanAp by DNA-binding transcriptional dual regulator Fis	nanAp	-	nanA // nanQ // nanK // nanE // nanT	b3225 // b3221 // b3222 // b3223 // b3224
Regulation of nanAp by DNA-binding transcriptional dual regulator Fis	nanAp	-	nanA // nanQ // nanK // nanE // nanT	b3225 // b3221 // b3222 // b3223 // b3224
Regulation of nanAp by DNA-binding transcriptional dual regulator Fis	nanAp	-	nanA // nanQ // nanK // nanE // nanT	b3225 // b3221 // b3222 // b3223 // b3224
Regulation of nanAp by DNA-binding transcriptional dual regulator NanR	nanAp	-	nanA // nanQ // nanK // nanE // nanT	b3225 // b3221 // b3222 // b3223 // b3224
Regulation of nanAp by DNA-binding transcriptional dual regulator NanR	nanAp	-	nanA // nanQ // nanK // nanE // nanT	b3225 // b3221 // b3222 // b3223 // b3224
Regulation of nanAp by DNA-binding transcriptional dual regulator NanR	nanAp	-	nanA // nanQ // nanK // nanE // nanT	b3225 // b3221 // b3222 // b3223 // b3224
Regulation of nanCp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	nanCp	+	nanS // nanM // nanC	b4309 // b4310 // b4311
Regulation of nanCp by DNA-binding transcriptional dual regulator NagC	nanCp	-	nanS // nanM // nanC	b4309 // b4310 // b4311
Regulation of nanCp by DNA-binding transcriptional dual regulator NagC	nanCp	-	nanS // nanM // nanC	b4309 // b4310 // b4311
Regulation of nanCp by DNA-binding transcriptional dual regulator NanR	nanCp	-	nanS // nanM // nanC	b4309 // b4310 // b4311
Regulation of nanCp by DNA-binding transcriptional dual regulator NanR	nanCp	-	nanS // nanM // nanC	b4309 // b4310 // b4311
Regulation of nanCp by DNA-binding transcriptional dual regulator NanR	nanCp	-	nanS // nanM // nanC	b4309 // b4310 // b4311
Regulation of napFp1 by DNA-binding transcriptional dual regulator FNR	napFp1	+	ccmH // ccmG // ccmF // ccmE // ccmD // ccmC // ccmB // ccmA // napC // napB // napH // napG // napA // napD // napF	b2194 // b2195 // b2196 // b2197 // b2198 // b2199 // b2200 // b2201 // b2202 // b2203 // b2204 // b2205 // b2206 // b2207 // b2208
Regulation of napFp1 by DNA-binding transcriptional dual regulator ModE-molybdate	napFp1	+	ccmH // ccmG // ccmF // ccmE // ccmD // ccmC // ccmB // ccmA // napC // napB // napH // napG // napA // napD // napF	b2194 // b2195 // b2196 // b2197 // b2198 // b2199 // b2200 // b2201 // b2202 // b2203 // b2204 // b2205 // b2206 // b2207 // b2208
Regulation of napFp1 by DNA-binding transcriptional dual regulator NarL-phosphorylated	napFp1	-	ccmH // ccmG // ccmF // ccmE // ccmD // ccmC // ccmB // ccmA // napC // napB // napH // napG // napA // napD // napF	b2194 // b2195 // b2196 // b2197 // b2198 // b2199 // b2200 // b2201 // b2202 // b2203 // b2204 // b2205 // b2206 // b2207 // b2208
Regulation of napFp1 by DNA-binding transcriptional dual regulator NarL-phosphorylated	napFp1	-	ccmH // ccmG // ccmF // ccmE // ccmD // ccmC // ccmB // ccmA // napC // napB // napH // napG // napA // napD // napF	b2194 // b2195 // b2196 // b2197 // b2198 // b2199 // b2200 // b2201 // b2202 // b2203 // b2204 // b2205 // b2206 // b2207 // b2208
Regulation of napFp1 by DNA-binding transcriptional dual regulator NarP-phosphorylated	napFp1	+	ccmH // ccmG // ccmF // ccmE // ccmD // ccmC // ccmB // ccmA // napC // napB // napH // napG // napA // napD // napF	b2194 // b2195 // b2196 // b2197 // b2198 // b2199 // b2200 // b2201 // b2202 // b2203 // b2204 // b2205 // b2206 // b2207 // b2208
