Gene,Function,Multifunction,Biological Process,Cellular Component,Molecular Function
plaR,repressor,Transcription related; repressor; operon,GO:0006355 - regulation of DNA-templated transcription; GO:0045892 - negative regulation of DNA-templated transcription,GO:0005829 - cytosol,GO:0003677 - DNA binding; GO:0003700 - DNA-binding transcription factor activity
glpG,activator,membrane,GO:0006508 - proteolysis,GO:0005886 - plasma membrane; GO:0016020 - membrane,GO:0004175 - endopeptidase activity; GO:0004252 - serine-type endopeptidase activity; GO:0008233 - peptidase activity; GO:0008236 - serine-type peptidase activity; GO:0016787 - hydrolase activity; GO:0042802 - identical protein binding
glpR,activator,anaerobic respiration; Transcription related; repressor; operon,GO:0006071 - glycerol metabolic process; GO:0006355 - regulation of DNA-templated transcription; GO:0045892 - negative regulation of DNA-templated transcription,GO:0005829 - cytosol,GO:0000987 - cis-regulatory region sequence-specific DNA binding; GO:0003677 - DNA binding; GO:0003700 - DNA-binding transcription factor activity; GO:0005515 - protein binding
glpE,activator,sulfur metabolism,GO:0006071 - glycerol metabolic process; GO:0006791 - sulfur utilization,GO:0005737 - cytoplasm; GO:0005829 - cytosol,GO:0004792 - thiosulfate sulfurtransferase activity; GO:0016740 - transferase activity
dadA,dual,amino acids,GO:0019478 - D-amino acid catabolic process; GO:0019480 - L-alanine oxidation to pyruvate via D-alanine; GO:0055130 - D-alanine catabolic process,GO:0005737 - cytoplasm; GO:0005886 - plasma membrane; GO:0016020 - membrane,GO:0008718 - D-amino-acid dehydrogenase activity; GO:0016491 - oxidoreductase activity; GO:0042803 - protein homodimerization activity
dadX,dual,amino acids; alanine,GO:0006522 - alanine metabolic process; GO:0009252 - peptidoglycan biosynthetic process; GO:0019480 - L-alanine oxidation to pyruvate via D-alanine; GO:0030632 - D-alanine biosynthetic process,GO:0005829 - cytosol,GO:0003824 - catalytic activity; GO:0008784 - alanine racemase activity; GO:0016853 - isomerase activity; GO:0030170 - pyridoxal phosphate binding; GO:0042803 - protein homodimerization activity
hupA,activator,"Transcription related; nucleoproteins, basic proteins; transcriptional level; activator; repressor",GO:0006270 - DNA replication initiation; GO:0006281 - DNA repair; GO:0006351 - DNA-templated transcription; GO:0006974 - DNA damage response; GO:0030261 - chromosome condensation; GO:0036386 - bacterial nucleoid packaging,GO:0005737 - cytoplasm; GO:0005829 - cytosol; GO:0009295 - nucleoid; GO:0016020 - membrane; GO:1990103 - DnaA-HU complex; GO:1990178 - HU-DNA complex,GO:0003677 - DNA binding; GO:0005515 - protein binding; GO:0030527 - structural constituent of chromatin; GO:0042802 - identical protein binding
xylA,activator,carbon compounds,GO:0005975 - carbohydrate metabolic process; GO:0042732 - D-xylose metabolic process; GO:0042843 - D-xylose catabolic process,GO:0005737 - cytoplasm; GO:0005829 - cytosol,GO:0000287 - magnesium ion binding; GO:0009045 - xylose isomerase activity; GO:0016853 - isomerase activity; GO:0042803 - protein homodimerization activity; GO:0046872 - metal ion binding
xylB,activator,carbon compounds,GO:0005975 - carbohydrate metabolic process; GO:0005997 - xylulose metabolic process; GO:0005998 - xylulose catabolic process; GO:0008152 - metabolic process; GO:0016310 - phosphorylation; GO:0042732 - D-xylose metabolic process; GO:0042843 - D-xylose catabolic process; GO:0046835 - carbohydrate phosphorylation,GO:0005829 - cytosol,"GO:0000166 - nucleotide binding; GO:0003824 - catalytic activity; GO:0004856 - xylulokinase activity; GO:0005524 - ATP binding; GO:0016301 - kinase activity; GO:0016740 - transferase activity; GO:0016773 - phosphotransferase activity, alcohol group as acceptor; GO:0042803 - protein homodimerization activity; GO:0103020 - 1-deoxy-D-xylulose kinase activity"
xylF,activator,"carbon compounds; ABC superfamily, periplasmic binding component",GO:0015752 - D-ribose transmembrane transport; GO:0015753 - D-xylose transmembrane transport; GO:0042732 - D-xylose metabolic process; GO:0071702 - organic substance transport,"GO:0016020 - membrane; GO:0030288 - outer membrane-bounded periplasmic space; GO:0042597 - periplasmic space; GO:0055052 - ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing",GO:0030246 - carbohydrate binding; GO:0048029 - monosaccharide binding
xylH,activator,"carbon compounds; ABC superfamily, membrane component; membrane",GO:0015752 - D-ribose transmembrane transport; GO:0015753 - D-xylose transmembrane transport; GO:0042732 - D-xylose metabolic process; GO:0055085 - transmembrane transport; GO:0071702 - organic substance transport,"GO:0005886 - plasma membrane; GO:0016020 - membrane; GO:0043190 - ATP-binding cassette (ABC) transporter complex; GO:0055052 - ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing",GO:0022857 - transmembrane transporter activity
xylG,activator,carbon compounds; ABC superfamily ATP binding cytoplasmic component,GO:0015752 - D-ribose transmembrane transport; GO:0015753 - D-xylose transmembrane transport; GO:0042732 - D-xylose metabolic process; GO:0071702 - organic substance transport,"GO:0005886 - plasma membrane; GO:0016020 - membrane; GO:0043190 - ATP-binding cassette (ABC) transporter complex; GO:0055052 - ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing",GO:0000166 - nucleotide binding; GO:0005524 - ATP binding; GO:0015148 - D-xylose transmembrane transporter activity; GO:0015614 - ABC-type D-xylose transporter activity; GO:0016887 - ATP hydrolysis activity
xylR,activator,carbon compounds; Transcription related; activator; operon,GO:0006355 - regulation of DNA-templated transcription,GO:0005829 - cytosol,GO:0000976 - transcription cis-regulatory region binding; GO:0003677 - DNA binding; GO:0003700 - DNA-binding transcription factor activity; GO:0043565 - sequence-specific DNA binding
nmpC,activator,,GO:0006811 - monoatomic ion transport; GO:0034220 - monoatomic ion transmembrane transport,GO:0009279 - cell outer membrane; GO:0016020 - membrane; GO:0046930 - pore complex,GO:0015288 - porin activity
grpE,activator,"chaperoning, repair (refolding); cell division; prophage genes and phage related functions",GO:0006457 - protein folding; GO:0009408 - response to heat; GO:0030150 - protein import into mitochondrial matrix; GO:0043335 - protein unfolding; GO:0051085 - chaperone cofactor-dependent protein refolding; GO:0065003 - protein-containing complex assembly,GO:0005737 - cytoplasm; GO:0005829 - cytosol; GO:0032991 - protein-containing complex,GO:0000774 - adenyl-nucleotide exchange factor activity; GO:0005515 - protein binding; GO:0019904 - protein domain specific binding; GO:0042803 - protein homodimerization activity; GO:0051082 - unfolded protein binding; GO:0051087 - protein-folding chaperone binding
paaI,activator,metabolism,GO:0010124 - phenylacetate catabolic process,GO:0005829 - cytosol,GO:0016289 - acyl-CoA hydrolase activity; GO:0016787 - hydrolase activity; GO:0016790 - thiolester hydrolase activity
paaB,activator,carbon compounds,GO:0010124 - phenylacetate catabolic process,"GO:0005829 - cytosol; GO:0062077 - phenylacetyl-CoA 1,2-epoxidase complex",GO:0005515 - protein binding
paaA,activator,carbon compounds,GO:0010124 - phenylacetate catabolic process,"GO:0005829 - cytosol; GO:0062077 - phenylacetyl-CoA 1,2-epoxidase complex","GO:0005515 - protein binding; GO:0016491 - oxidoreductase activity; GO:0097266 - phenylacetyl-CoA 1,2-epoxidase activity"
paaK,activator,carbon compounds,GO:0010124 - phenylacetate catabolic process,GO:0005829 - cytosol,GO:0000166 - nucleotide binding; GO:0005524 - ATP binding; GO:0016405 - CoA-ligase activity; GO:0016874 - ligase activity; GO:0047475 - phenylacetate-CoA ligase activity
paaC,activator,carbon compounds,GO:0010124 - phenylacetate catabolic process,"GO:0005829 - cytosol; GO:0062077 - phenylacetyl-CoA 1,2-epoxidase complex",GO:0005515 - protein binding
paaH,activator,carbon compounds,GO:0006631 - fatty acid metabolic process; GO:0006635 - fatty acid beta-oxidation; GO:0010124 - phenylacetate catabolic process; GO:0044248 - cellular catabolic process; GO:1901575 - organic substance catabolic process,GO:0005829 - cytosol,"GO:0003857 - 3-hydroxyacyl-CoA dehydrogenase activity; GO:0008691 - 3-hydroxybutyryl-CoA dehydrogenase activity; GO:0016491 - oxidoreductase activity; GO:0016616 - oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor; GO:0070403 - NAD+ binding"
paaF,activator,carbon compounds,GO:0006629 - lipid metabolic process; GO:0006631 - fatty acid metabolic process; GO:0006635 - fatty acid beta-oxidation; GO:0010124 - phenylacetate catabolic process,GO:0005829 - cytosol; GO:0005886 - plasma membrane; GO:1902494 - catalytic complex,GO:0003824 - catalytic activity; GO:0004300 - enoyl-CoA hydratase activity; GO:0005515 - protein binding; GO:0016829 - lyase activity; GO:0042802 - identical protein binding
paaG,activator,carbon compounds,GO:0006635 - fatty acid beta-oxidation; GO:0010124 - phenylacetate catabolic process,GO:0005829 - cytosol; GO:1902494 - catalytic complex,GO:0005515 - protein binding; GO:0016829 - lyase activity; GO:0016853 - isomerase activity; GO:0042802 - identical protein binding
paaJ,activator,carbon compounds,"GO:0006635 - fatty acid beta-oxidation; GO:0006974 - DNA damage response; GO:0010124 - phenylacetate catabolic process; GO:0019619 - 3,4-dihydroxybenzoate catabolic process; GO:0044281 - small molecule metabolic process",GO:0005829 - cytosol,"GO:0003988 - acetyl-CoA C-acyltransferase activity; GO:0016740 - transferase activity; GO:0016746 - acyltransferase activity; GO:0016747 - acyltransferase activity, transferring groups other than amino-acyl groups; GO:0033812 - 3-oxoadipyl-CoA thiolase activity"
paaE,activator,carbon compounds,GO:0010124 - phenylacetate catabolic process,"GO:0005829 - cytosol; GO:0062077 - phenylacetyl-CoA 1,2-epoxidase complex","GO:0016491 - oxidoreductase activity; GO:0046872 - metal ion binding; GO:0050660 - flavin adenine dinucleotide binding; GO:0051536 - iron-sulfur cluster binding; GO:0051537 - 2 iron, 2 sulfur cluster binding"
paaD,activator,carbon compounds,GO:0010124 - phenylacetate catabolic process,,
paaZ,activator,carbon compounds,GO:0008152 - metabolic process; GO:0010124 - phenylacetate catabolic process,GO:0005829 - cytosol,"GO:0003824 - catalytic activity; GO:0004300 - enoyl-CoA hydratase activity; GO:0016491 - oxidoreductase activity; GO:0016620 - oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor; GO:0016726 - oxidoreductase activity, acting on CH or CH2 groups, NAD or NADP as acceptor; GO:0016787 - hydrolase activity; GO:0016803 - ether hydrolase activity; GO:0016823 - hydrolase activity, acting on acid carbon-carbon bonds, in ketonic substances; GO:0016829 - lyase activity; GO:0042802 - identical protein binding"
ompR,dual,Transcription related; activator; repressor; two component regulatory systems (external signal); operon,GO:0000160 - phosphorelay signal transduction system; GO:0006355 - regulation of DNA-templated transcription; GO:0045893 - positive regulation of DNA-templated transcription,GO:0005737 - cytoplasm; GO:0005829 - cytosol; GO:0032993 - protein-DNA complex,GO:0000156 - phosphorelay response regulator activity; GO:0000976 - transcription cis-regulatory region binding; GO:0003677 - DNA binding; GO:0005515 - protein binding
envZ,dual,"posttranslational modification; two component regulatory systems (external signal); covalent modification, demodification, maturation; membrane",GO:0000160 - phosphorelay signal transduction system; GO:0006970 - response to osmotic stress; GO:0007165 - signal transduction; GO:0016310 - phosphorylation; GO:0018106 - peptidyl-histidine phosphorylation; GO:0046777 - protein autophosphorylation; GO:0051716 - cellular response to stimulus,GO:0005829 - cytosol; GO:0005886 - plasma membrane; GO:0016020 - membrane; GO:0030288 - outer membrane-bounded periplasmic space,"GO:0000155 - phosphorelay sensor kinase activity; GO:0000166 - nucleotide binding; GO:0004673 - protein histidine kinase activity; GO:0004721 - phosphoprotein phosphatase activity; GO:0005515 - protein binding; GO:0005524 - ATP binding; GO:0016301 - kinase activity; GO:0016740 - transferase activity; GO:0016772 - transferase activity, transferring phosphorus-containing groups; GO:0042802 - identical protein binding; GO:0042803 - protein homodimerization activity"
chbR,activator,carbon compounds; Transcription related; activator; repressor; operon,GO:0006355 - regulation of DNA-templated transcription; GO:0045892 - negative regulation of DNA-templated transcription,GO:0005829 - cytosol,GO:0001046 - core promoter sequence-specific DNA binding; GO:0003677 - DNA binding; GO:0003700 - DNA-binding transcription factor activity; GO:0042803 - protein homodimerization activity; GO:0043565 - sequence-specific DNA binding
chbG,activator,polysaccharides,GO:0000272 - polysaccharide catabolic process; GO:0005975 - carbohydrate metabolic process; GO:0006032 - chitin catabolic process; GO:0052777 - diacetylchitobiose catabolic process,GO:0005737 - cytoplasm; GO:0005829 - cytosol,"GO:0016787 - hydrolase activity; GO:0016811 - hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides; GO:0019213 - deacetylase activity; GO:0036311 - chitin disaccharide deacetylase activity; GO:0046872 - metal ion binding; GO:0052773 - diacetylchitobiose deacetylase activity"
chbF,activator,carbon compounds,GO:0005975 - carbohydrate metabolic process; GO:0008152 - metabolic process; GO:0052777 - diacetylchitobiose catabolic process,GO:0005829 - cytosol,"GO:0003824 - catalytic activity; GO:0004553 - hydrolase activity, hydrolyzing O-glycosyl compounds; GO:0008706 - 6-phospho-beta-glucosidase activity; GO:0016616 - oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor; GO:0016787 - hydrolase activity; GO:0016798 - hydrolase activity, acting on glycosyl bonds; GO:0042802 - identical protein binding; GO:0046872 - metal ion binding; GO:0103047 - methyl beta-D-glucoside 6-phosphate glucohydrolase activity"
chbB,activator,carbon compounds; Phosphotransferase Systems (PEP-dependent PTS),"GO:0009401 - phosphoenolpyruvate-dependent sugar phosphotransferase system; GO:0016310 - phosphorylation; GO:0071702 - organic substance transport; GO:1902815 - N,N'-diacetylchitobiose import",GO:0005737 - cytoplasm; GO:0005829 - cytosol; GO:1902495 - transmembrane transporter complex,"GO:0005515 - protein binding; GO:0008982 - protein-N(PI)-phosphohistidine-sugar phosphotransferase activity; GO:0016301 - kinase activity; GO:0016740 - transferase activity; GO:0090566 - protein-phosphocysteine-N,N'-diacetylchitobiose phosphotransferase system transporter activity"
chbA,activator,carbon compounds; Phosphotransferase Systems (PEP-dependent PTS),"GO:0009401 - phosphoenolpyruvate-dependent sugar phosphotransferase system; GO:0071702 - organic substance transport; GO:1902815 - N,N'-diacetylchitobiose import",GO:0005737 - cytoplasm; GO:0005829 - cytosol; GO:0032991 - protein-containing complex; GO:1902495 - transmembrane transporter complex,"GO:0005515 - protein binding; GO:0016740 - transferase activity; GO:0090566 - protein-phosphocysteine-N,N'-diacetylchitobiose phosphotransferase system transporter activity"
chbC,activator,carbon compounds; Phosphotransferase Systems (PEP-dependent PTS); membrane,"GO:0009401 - phosphoenolpyruvate-dependent sugar phosphotransferase system; GO:0071702 - organic substance transport; GO:1902815 - N,N'-diacetylchitobiose import",GO:0005886 - plasma membrane; GO:0016020 - membrane; GO:1902495 - transmembrane transporter complex,GO:0008982 - protein-N(PI)-phosphohistidine-sugar phosphotransferase activity; GO:0090563 - protein-phosphocysteine-sugar phosphotransferase activity
modB,activator,"ABC superfamily, membrane component; membrane",GO:0015689 - molybdate ion transport; GO:0055085 - transmembrane transport; GO:0070614 - tungstate ion transport,"GO:0005886 - plasma membrane; GO:0016020 - membrane; GO:0043190 - ATP-binding cassette (ABC) transporter complex; GO:0055052 - ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing",GO:0015098 - molybdate ion transmembrane transporter activity
modC,activator,molybdenum; ABC superfamily ATP binding cytoplasmic component,GO:0015689 - molybdate ion transport; GO:0055085 - transmembrane transport; GO:0070614 - tungstate ion transport; GO:0098656 - monoatomic anion transmembrane transport,"GO:0005886 - plasma membrane; GO:0016020 - membrane; GO:0032991 - protein-containing complex; GO:0043190 - ATP-binding cassette (ABC) transporter complex; GO:0055052 - ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing",GO:0000166 - nucleotide binding; GO:0005524 - ATP binding; GO:0015098 - molybdate ion transmembrane transporter activity; GO:0015412 - ABC-type molybdate transporter activity; GO:0016887 - ATP hydrolysis activity; GO:0140359 - ABC-type transporter activity
modA,activator,"molybdenum; ABC superfamily, periplasmic binding component",GO:0015689 - molybdate ion transport; GO:0046687 - response to chromate; GO:0070614 - tungstate ion transport; GO:0098656 - monoatomic anion transmembrane transport,"GO:0016020 - membrane; GO:0030288 - outer membrane-bounded periplasmic space; GO:0042597 - periplasmic space; GO:0055052 - ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing",GO:0015412 - ABC-type molybdate transporter activity; GO:0030151 - molybdenum ion binding; GO:0030973 - molybdate ion binding; GO:0046872 - metal ion binding; GO:1901359 - tungstate binding
caiF,activator,amines; unassigned reversible reactions; Transcription related; activator; operon,GO:0006351 - DNA-templated transcription; GO:0006355 - regulation of DNA-templated transcription; GO:0009437 - carnitine metabolic process,GO:0005829 - cytosol,GO:0003700 - DNA-binding transcription factor activity
fixC,activator,carnitine metabolism,GO:0009437 - carnitine metabolic process,GO:0005829 - cytosol,GO:0016491 - oxidoreductase activity; GO:0071949 - FAD binding
fixB,activator,energy production/transport,GO:0009437 - carnitine metabolic process; GO:0033539 - fatty acid beta-oxidation using acyl-CoA dehydrogenase; GO:0042413 - carnitine catabolic process,,GO:0005515 - protein binding; GO:0009055 - electron transfer activity; GO:0050660 - flavin adenine dinucleotide binding
fixA,activator,energy production/transport,GO:0009437 - carnitine metabolic process; GO:0042413 - carnitine catabolic process,GO:0030288 - outer membrane-bounded periplasmic space,GO:0005515 - protein binding; GO:0009055 - electron transfer activity
fixX,activator,carnitine metabolism,,GO:0005829 - cytosol,"GO:0005506 - iron ion binding; GO:0005515 - protein binding; GO:0046872 - metal ion binding; GO:0051536 - iron-sulfur cluster binding; GO:0051539 - 4 iron, 4 sulfur cluster binding"
sdhB,activator,TCA cycle; aerobic respiration; electron donors; membrane,GO:0006099 - tricarboxylic acid cycle; GO:0009060 - aerobic respiration; GO:0019646 - aerobic electron transport chain; GO:0022904 - respiratory electron transport chain,GO:0005886 - plasma membrane; GO:0016020 - membrane; GO:0045281 - succinate dehydrogenase complex,"GO:0005515 - protein binding; GO:0008177 - succinate dehydrogenase (quinone) activity; GO:0009055 - electron transfer activity; GO:0016491 - oxidoreductase activity; GO:0046872 - metal ion binding; GO:0051536 - iron-sulfur cluster binding; GO:0051537 - 2 iron, 2 sulfur cluster binding; GO:0051538 - 3 iron, 4 sulfur cluster binding; GO:0051539 - 4 iron, 4 sulfur cluster binding"
sdhD,activator,TCA cycle; aerobic respiration; electron donors; cytochromes; membrane,GO:0006099 - tricarboxylic acid cycle; GO:0009060 - aerobic respiration; GO:0017004 - cytochrome complex assembly; GO:0019646 - aerobic electron transport chain,GO:0005886 - plasma membrane; GO:0016020 - membrane; GO:0045281 - succinate dehydrogenase complex,"GO:0009055 - electron transfer activity; GO:0016627 - oxidoreductase activity, acting on the CH-CH group of donors; GO:0020037 - heme binding; GO:0046872 - metal ion binding"
sdhA,activator,TCA cycle; aerobic respiration; electron donors; membrane,GO:0006099 - tricarboxylic acid cycle; GO:0009060 - aerobic respiration; GO:0009061 - anaerobic respiration; GO:0019646 - aerobic electron transport chain; GO:0022900 - electron transport chain,GO:0005886 - plasma membrane; GO:0016020 - membrane; GO:0045281 - succinate dehydrogenase complex; GO:0045282 - plasma membrane succinate dehydrogenase complex,"GO:0000104 - succinate dehydrogenase activity; GO:0005515 - protein binding; GO:0008177 - succinate dehydrogenase (quinone) activity; GO:0009055 - electron transfer activity; GO:0016491 - oxidoreductase activity; GO:0016627 - oxidoreductase activity, acting on the CH-CH group of donors; GO:0050660 - flavin adenine dinucleotide binding"
pflB,activator,fermentation,GO:0005975 - carbohydrate metabolic process; GO:0006006 - glucose metabolic process,GO:0005737 - cytoplasm; GO:0005829 - cytosol; GO:0016020 - membrane,GO:0003824 - catalytic activity; GO:0005515 - protein binding; GO:0008861 - formate C-acetyltransferase activity; GO:0016740 - transferase activity; GO:0016746 - acyltransferase activity; GO:0042803 - protein homodimerization activity
focA,activator,"carbon compounds; Porters (Uni-, Sym- and Antiporters); membrane",GO:0010447 - response to acidic pH; GO:0015724 - formate transport; GO:0019664 - mixed acid fermentation; GO:0055085 - transmembrane transport,GO:0005886 - plasma membrane; GO:0016020 - membrane,GO:0005515 - protein binding; GO:0015499 - formate transmembrane transporter activity; GO:0022857 - transmembrane transporter activity; GO:0042802 - identical protein binding
ugpB,activator,"phosphorous metabolism; ABC superfamily, periplasmic binding component",GO:0001407 - glycerophosphodiester transmembrane transport; GO:0015794 - glycerol-3-phosphate transmembrane transport; GO:0055085 - transmembrane transport; GO:0071702 - organic substance transport,GO:0016020 - membrane; GO:0030288 - outer membrane-bounded periplasmic space; GO:0042597 - periplasmic space; GO:1902517 - glycerol-3-phosphate-transporting ATPase complex,
ugpC,activator,phosphorous metabolism; ABC superfamily ATP binding cytoplasmic component,GO:0001407 - glycerophosphodiester transmembrane transport; GO:0008643 - carbohydrate transport; GO:0015794 - glycerol-3-phosphate transmembrane transport; GO:0071702 - organic substance transport,"GO:0005829 - cytosol; GO:0005886 - plasma membrane; GO:0016020 - membrane; GO:0032991 - protein-containing complex; GO:0043190 - ATP-binding cassette (ABC) transporter complex; GO:0055052 - ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing; GO:1902517 - glycerol-3-phosphate-transporting ATPase complex",GO:0000166 - nucleotide binding; GO:0001406 - glycerophosphodiester transmembrane transporter activity; GO:0005524 - ATP binding; GO:0015169 - glycerol-3-phosphate transmembrane transporter activity; GO:0015430 - ABC-type glycerol-3-phosphate transporter activity; GO:0016887 - ATP hydrolysis activity; GO:0140359 - ABC-type transporter activity
ugpQ,activator,misc. glycerol metabolism,GO:0006071 - glycerol metabolic process; GO:0006629 - lipid metabolic process,GO:0005737 - cytoplasm; GO:0005829 - cytosol,GO:0000287 - magnesium ion binding; GO:0008081 - phosphoric diester hydrolase activity; GO:0008889 - glycerophosphodiester phosphodiesterase activity; GO:0016787 - hydrolase activity; GO:0046872 - metal ion binding; GO:0047389 - glycerophosphocholine phosphodiesterase activity; GO:0047395 - glycerophosphoinositol glycerophosphodiesterase activity
ugpA,activator,"phosphorous metabolism; ABC superfamily, membrane component; membrane",GO:0001407 - glycerophosphodiester transmembrane transport; GO:0015794 - glycerol-3-phosphate transmembrane transport; GO:0055085 - transmembrane transport,"GO:0005886 - plasma membrane; GO:0016020 - membrane; GO:0055052 - ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing; GO:1902517 - glycerol-3-phosphate-transporting ATPase complex",GO:0001406 - glycerophosphodiester transmembrane transporter activity; GO:0015169 - glycerol-3-phosphate transmembrane transporter activity
ugpE,activator,"phosphorous metabolism; ABC superfamily, membrane component; membrane",GO:0015794 - glycerol-3-phosphate transmembrane transport; GO:0055085 - transmembrane transport,"GO:0005886 - plasma membrane; GO:0016020 - membrane; GO:0055052 - ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing; GO:1902517 - glycerol-3-phosphate-transporting ATPase complex",GO:0015169 - glycerol-3-phosphate transmembrane transporter activity
cytR,dual,nucleotide and nucleoside conversions; Transcription related; activator; repressor; regulon,GO:0006355 - regulation of DNA-templated transcription; GO:0045892 - negative regulation of DNA-templated transcription,GO:0005829 - cytosol,GO:0000976 - transcription cis-regulatory region binding; GO:0003677 - DNA binding; GO:0003700 - DNA-binding transcription factor activity; GO:0005515 - protein binding
fur,activator,Transcription related; activator; repressor; regulon,GO:0006355 - regulation of DNA-templated transcription; GO:0045892 - negative regulation of DNA-templated transcription; GO:0045893 - positive regulation of DNA-templated transcription; GO:1900705 - negative regulation of siderophore biosynthetic process,GO:0005737 - cytoplasm; GO:0005829 - cytosol; GO:0032993 - protein-DNA complex,GO:0000976 - transcription cis-regulatory region binding; GO:0001216 - DNA-binding transcription activator activity; GO:0001217 - DNA-binding transcription repressor activity; GO:0003677 - DNA binding; GO:0003700 - DNA-binding transcription factor activity; GO:0008270 - zinc ion binding; GO:0043565 - sequence-specific DNA binding; GO:0046872 - metal ion binding
glgS,activator,cytoplasmic polysaccharides,GO:1900191 - negative regulation of single-species biofilm formation; GO:1900232 - negative regulation of single-species biofilm formation on inanimate substrate; GO:1902201 - negative regulation of bacterial-type flagellum-dependent cell motility,GO:0005829 - cytosol,
gntU,activator,"Porters (Uni-, Sym- and Antiporters); membrane",GO:0019521 - D-gluconate metabolic process; GO:0034219 - carbohydrate transmembrane transport; GO:0035429 - gluconate transmembrane transport; GO:0071702 - organic substance transport,GO:0005886 - plasma membrane; GO:0016020 - membrane,GO:0005402 - carbohydrate:monoatomic cation symporter activity; GO:0015128 - gluconate transmembrane transporter activity
gntK,activator,misc. glucose metabolism,GO:0005975 - carbohydrate metabolic process; GO:0016310 - phosphorylation; GO:0046177 - D-gluconate catabolic process,GO:0005737 - cytoplasm; GO:0005829 - cytosol,GO:0000166 - nucleotide binding; GO:0005524 - ATP binding; GO:0016301 - kinase activity; GO:0016740 - transferase activity; GO:0042803 - protein homodimerization activity; GO:0046316 - gluconokinase activity
yhfA,dual,,,GO:0005829 - cytosol,
dsdA,activator,amino acids,GO:0006520 - amino acid metabolic process; GO:0006974 - DNA damage response; GO:0009097 - isoleucine biosynthetic process; GO:0036088 - D-serine catabolic process; GO:0046416 - D-amino acid metabolic process; GO:0051410 - detoxification of nitrogen compound; GO:0070178 - D-serine metabolic process,GO:0005737 - cytoplasm; GO:0005829 - cytosol,GO:0008721 - D-serine ammonia-lyase activity; GO:0016829 - lyase activity; GO:0016836 - hydro-lyase activity; GO:0030170 - pyridoxal phosphate binding
dsdX,activator,"Porters (Uni-, Sym- and Antiporters); membrane",GO:0006865 - amino acid transport; GO:0006974 - DNA damage response; GO:0035429 - gluconate transmembrane transport; GO:0042942 - D-serine transport,GO:0005886 - plasma membrane; GO:0016020 - membrane,GO:0015128 - gluconate transmembrane transporter activity; GO:0042945 - D-serine transmembrane transporter activity
fecA,activator,Beta barrel porins (The Outer Membrane Porin (OMP) Functional Superfamily); Fe aquisition,GO:0006355 - regulation of DNA-templated transcription; GO:0006811 - monoatomic ion transport; GO:0006826 - iron ion transport; GO:0006879 - intracellular iron ion homeostasis; GO:0015891 - siderophore transport; GO:0023019 - signal transduction involved in regulation of gene expression; GO:0033214 - siderophore-dependent iron import into cell; GO:0044718 - siderophore transmembrane transport; GO:1990641 - response to iron ion starvation,GO:0009279 - cell outer membrane; GO:0016020 - membrane; GO:0019867 - outer membrane; GO:1902495 - transmembrane transporter complex,GO:0005515 - protein binding; GO:0015343 - siderophore-iron transmembrane transporter activity; GO:0038023 - signaling receptor activity
fecB,activator,"ABC superfamily, periplasmic binding component; Fe aquisition",GO:0006811 - monoatomic ion transport; GO:0006826 - iron ion transport; GO:0006879 - intracellular iron ion homeostasis; GO:0010039 - response to iron ion; GO:0033212 - iron import into cell; GO:0033214 - siderophore-dependent iron import into cell,"GO:0016020 - membrane; GO:0030288 - outer membrane-bounded periplasmic space; GO:0042597 - periplasmic space; GO:0055052 - ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing",GO:0005515 - protein binding
fecD,activator,"ABC superfamily, membrane component; membrane",GO:0006811 - monoatomic ion transport; GO:0006826 - iron ion transport; GO:0006879 - intracellular iron ion homeostasis; GO:0033212 - iron import into cell; GO:0033214 - siderophore-dependent iron import into cell; GO:0055085 - transmembrane transport,"GO:0005886 - plasma membrane; GO:0016020 - membrane; GO:0055052 - ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing",GO:0005515 - protein binding; GO:0015603 - iron chelate transmembrane transporter activity; GO:0022857 - transmembrane transporter activity
fecC,activator,"ABC superfamily, membrane component; Fe aquisition; membrane",GO:0006811 - monoatomic ion transport; GO:0006826 - iron ion transport; GO:0006879 - intracellular iron ion homeostasis; GO:0033212 - iron import into cell; GO:0033214 - siderophore-dependent iron import into cell; GO:0055085 - transmembrane transport,"GO:0005886 - plasma membrane; GO:0016020 - membrane; GO:0055052 - ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing",GO:0005515 - protein binding; GO:0015603 - iron chelate transmembrane transporter activity; GO:0022857 - transmembrane transporter activity
